longitude,latitude,h_over_geoid,gravity_anomaly,gnss_site,gnss_latitude_deg,gnss_longitude_deg,gnss_height_m,gnss_east_m,gnss_north_m,gnss_up_m,gnss_sig_e_m,gnss_sig_n_m,gnss_sig_u_m,gnss_corr_en,gnss_corr_eu,gnss_corr_nu,gnss_ant_m,gnss_n_dias,gnss_fecha_ini,gnss_fecha_fin,dist_gnss_km
-75.01000000,5.92000000,686.60000000,79.60700641,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,70.16090000
-74.96000000,5.92000000,611.32000000,79.36966288,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,75.15780000
-74.91000000,5.92000000,906.28000000,78.92594443,MEDE,6.19940514,-75.57891647,1553.44888330,0.37408492,0.53460490,0.44888333,0.00097393,0.00080501,0.00360648,-0.06085604,0.01350221,0.07241481,0.05930867,3898.00000000,05NOV10,25DEC31,80.22460000
-74.86000000,5.92000000,532.72000000,78.71087188,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,80.78480000
-74.81000000,5.92000000,433.00000000,78.33010490,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,77.50630000
-74.76000000,5.92000000,345.96000000,77.89326959,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,74.49400000
-74.71000000,5.92000000,202.52000000,77.42903960,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,71.78160000
-74.66000000,5.92000000,167.96000000,76.87037960,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,69.40410000
-74.61000000,5.92000000,152.32000000,76.25511652,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,67.39710000
-74.56000000,5.92000000,158.80000000,75.58291010,BER1,6.49268440,-74.41030932,159.06482476,-0.31698246,0.65614214,0.06482478,0.00134771,0.00115209,0.00587360,-0.01834339,0.04907861,-0.17412564,0.00516570,2927.00000000,07MAY16,25DEC31,65.79440000
