lon,lat,gravity_anomaly_base_mgal,aire_libre_mgal,bouguer_mgal,altura_m,gradiente_mgal_km
-76.41,6.32,64.16990652,345.897018519979,243.683096303276,912.919999999933,12.5310993917916
-76.41,6.37,63.6016846,307.148804599994,218.787034222057,789.19999999998,9.47766621237577
-76.41,6.42,62.97105705,299.77835305,213.861870387538,767.36,9.64081303754899
-76.41,6.47,62.3229012,274.4298532,197.474946945356,687.32,6.23242176580806
-76.41,6.52,61.64636937,242.69581737,177.008940221838,586.68,5.15903219539068
-76.36,2.72,63.90929341,904.63444541,599.609434923397,2724.32,11.2026014772276
-76.36,2.77,63.96668671,932.02145471,617.080936893607,2812.88,6.96530908459597
-76.36,2.82,64.06757858,910.495658579957,603.401558487967,2742.79999999986,9.88407930230954
-76.36,2.87,64.26175102,783.11459102,522.306294113803,2329.4,11.3296802151018
-76.36,2.92,64.3881000199999,737.19782001999,493.094510620624,2180.19999999997,8.31716398964321
-76.36,2.97,64.51907227,689.40938427,462.691801814734,2024.92,11.1352649132807
-76.36,3.02,64.73723964,545.190407639981,370.876326208151,1556.87999999994,18.6078200089787
-76.36,3.07,64.95923571,401.58011571002,279.450086404063,1090.80000000006,14.1310744425771
-76.36,3.12,65.08384824,374.88121624,262.483073757733,1003.88,3.02766699711112
-76.36,3.17,65.1952820399998,368.62314604,258.535934805326,983.239999999999,0.81433989055325
-76.36,3.22,65.30666957,368.06795757,258.222587977516,981.08,0.717525885127052
-76.36,3.27,65.4224053200001,368.455261320001,258.511363651069,981.960000000002,0.8595366003715
-76.36,3.32,65.5444622000001,367.750270200001,258.106435309342,979.280000000002,0.883361076326818
-76.36,3.37,65.6720104,367.0631144,257.714863738684,976.64,0.846464260523276
-76.36,3.42,65.8061291400001,365.271569140001,256.621972111678,970.400000000002,0.817259469575442
-76.36,3.47,65.94541617,364.01598417,255.872463170705,965.88,0.768867974660837
-76.36,3.52,66.0885452799997,364.776313279999,256.408864834232,967.879999999997,1.00914357434303
-76.36,3.57,66.2359625200001,366.960490520001,257.854081500875,974.480000000004,1.12283592937215
-76.36,3.62,66.38972572,368.11411772,258.644946237589,977.72,1.11718102121702
-76.36,3.67,66.5512854600001,366.436421460001,257.634553768077,971.760000000002,1.15085069838486
-76.36,3.72,66.71989715,362.54385715,255.215432055864,958.6,0.513863510057219
-76.36,3.77,66.8915907699999,360.567694770006,254.018537189591,951.64000000002,0.363952770403639
-76.36,3.82,67.0690188299998,357.202394830017,251.938580792349,940.160000000057,4.0057621316483
-76.36,3.87,67.24809226,356.55442026,251.59066900061,937.48,4.70891846619075
-76.36,3.92,67.3983507699998,391.453038770012,273.882172274232,1050.08000000004,9.97566297567139
-76.36,3.97,67.49316835,489.97891235,336.696096690834,1369.04,12.0549768240071
-76.36,4.02,67.7293235499998,437.086491550021,303.079350483177,1196.88000000007,13.0045738408531
-76.36,4.07,67.89101605,467.37988805,322.440609046389,1294.52,16.1663200656496
-76.36,4.12,68.07134552,478.96607352,329.888615305583,1331.48,9.68907168756583
-76.36,4.17,68.23991656,503.89670856,345.835281193117,1411.72,18.3183135308767
-76.36,4.22,68.3112847499999,632.123484749995,427.565762397622,1826.99999999998,15.9629368530728
-76.36,4.27,68.4624587799998,673.972690780014,454.28643014397,1962.12000000004,8.55938939086626
-76.36,4.32,68.76439817,555.29081417,378.773286664876,1576.56,8.47163906262535
-76.36,4.37,68.97992568,526.20168568,360.316233333378,1481.6,7.64485190811741
-76.36,4.42,69.01290735,684.07739535,460.924737842571,1993.08,11.1774593209375
-76.36,4.47,69.34122505,531.006825049968,363.509095088757,1495.9999999999,20.3217729602954
-76.36,4.52,69.61550845,430.689852450032,299.687817714841,1170.0400000001,11.495847969002
-76.36,4.57,69.61010394,610.80809594,414.455075226367,1753.72,6.1285875882575
