lon,lat,estacion_gnss_retenida,tipo_relacion_gravedad_gnss,dist_gnss_km,clase_distancia,gravity_anomaly_base_mgal,aire_libre_mgal,bouguer_mgal,gradiente_mgal_km,usar_grilla_regional,usar_resumen_contextual_100km,usar_contexto_regional_150km
-76.26,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,81.0616,contextual_50_100km,63.68647795,566.16134195,383.857529228034,18.7455737738493,1,1,1
-76.21,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,75.9583,contextual_50_100km,64.06435729,702.19978129,470.67671583344,13.6591015181827,1,1,1
-76.16,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,70.9183,contextual_50_100km,64.48541226,768.59951626,513.138606775559,27.9775670261054,1,1,1
-76.11,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,65.9562,contextual_50_100km,64.54807438,1186.82752238,779.651289361699,18.7040556144184,1,1,1
-76.06,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,61.091,contextual_50_100km,65.18351209,980.31829609,648.296592656706,21.1380658042191,1,1,1
-76.01,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,56.3476,contextual_50_100km,65.75627117,820.66593517,546.775796840895,10.4065163423034,1,1,1
-75.96,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,51.7598,contextual_50_100km,66.16053546,810.50373546,540.4472350145,10.3360193561902,1,1,1
-75.91,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,47.3726,local_0_50km,66.69737888,644.76689888,435.036452514116,28.8616992394237,1,1,1
-75.86,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,43.2472,local_0_50km,67.38708545,309.24307745,221.494868275395,22.6040214832637,1,1,1
-75.81,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,39.4657,local_0_50km,67.76857885,252.31137885,185.357072354805,5.99781964205953,1,1,1
-75.76,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,36.1364,local_0_50km,68.06658385,249.44931985,183.641521880743,10.7397014883026,1,1,1
-75.71,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,33.3946,local_0_50km,68.16555609,407.81071609,284.583442296336,29.9108762299723,1,1,1
-75.66,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,31.3948,local_0_50km,68.02656062,761.67295262,510.009852627728,27.6665261985122,1,1,1
-75.61,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,30.2842,local_0_50km,68.09556635,887.86060635,590.440171945594,4.33660593594671,1,1,1
-75.56,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,30.1613,local_0_50km,68.32132627,836.57485427,557.843404548166,3.960272785975,1,1,1
-75.51,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,31.0378,local_0_50km,68.47906782,820.08053982,547.390652603986,3.32232923912136,1,1,1
-75.46,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,32.8337,local_0_50km,68.61266475,796.39021675,532.343928967814,2.21207480809622,1,1,1
-75.41,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,35.4094,local_0_50km,68.67768994,806.09590594,538.551871443918,11.9244994951776,1,1,1
-75.36,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,38.6092,local_0_50km,68.80837635,724.52165635,486.621137217911,19.5157918917373,1,1,1
-75.31,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,42.2917,local_0_50km,69.00939028,548.03065428,374.236084523979,10.6710995171985,1,1,1
-75.26,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,46.3419,local_0_50km,68.97140597,559.52196597,381.544431513878,18.0572816722515,1,1,1
-75.21,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,50.6717,contextual_50_100km,68.76380187,694.37006587,467.392727576826,11.8409418429075,1,1,1
-75.16,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,55.2154,contextual_50_100km,68.68804949,676.24738549,455.817685731674,4.57666914502921,1,1,1
-75.11,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,59.9244,contextual_50_100km,68.61765269,620.67836469,420.384220918456,7.39085115700297,1,1,1
-75.06,6.47,MEDE,contextual_por_proximidad_no_asociacion_directa,64.7625,contextual_50_100km,68.49917668,576.29430468,392.060237369444,6.47833553872009,1,1,1
-75.01,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,66.3044,contextual_50_100km,68.35797296,519.51882896,355.832344137735,7.12245046563091,1,1,1
-74.96,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,60.7845,contextual_50_100km,68.18724702,456.25791902,315.461297776125,7.45316607172769,1,1,1
-74.91,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,55.2655,contextual_50_100km,67.97416398,398.05272398,278.296325606655,4.66155273122641,1,1,1
-74.86,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,49.7477,local_0_50km,67.67113842,388.87436242,272.338040726926,3.78250938181137,1,1,1
-74.81,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,44.2315,local_0_50km,67.3817439,332.7530559,236.473211014803,2.93011496789976,1,1,1
-74.76,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,38.7176,local_0_50km,66.98238855,344.82114055,244.017961246064,2.61757356463052,1,1,1
-74.71,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,33.207,local_0_50km,66.61248216,294.68022616,211.934556139584,5.71889630397492,1,1,1
-74.66,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,27.702,local_0_50km,66.19956128,250.06344128,183.355454975925,3.29719356262873,1,1,1
-74.61,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,22.2064,local_0_50km,65.70806693,245.37498693,180.189707261936,4.39501241743463,1,1,1
-74.56,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,16.7297,local_0_50km,65.24542808,177.56348408,136.813167370985,7.02005719797357,1,1,1
-74.51,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,11.2994,local_0_50km,64.70603095,148.55882295,118.136040072284,5.02140350943203,1,1,1
-74.46,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,6.0418,local_0_50km,64.14957593,100.58906393,87.36838749028,3.03250360263944,1,1,1
-74.41,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,2.5226,local_0_50km,63.51307535,96.64437135,84.6239460233711,0.479658930925203,1,1,1
-74.36,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,6.1039,local_0_50km,62.83608744,98.55962344,85.5987028381878,0.356334101110929,1,1,1
-74.31,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,11.366,local_0_50km,62.1220976,103.4991856,88.4870895885022,0.351772391551354,1,1,1
-74.26,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,16.7973,local_0_50km,61.38624479,96.19632479,83.5668168089667,0.655845828188098,1,1,1
-74.21,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,22.2743,local_0_50km,60.60931547,97.29568347,83.9854360516911,0.498328766321867,1,1,1
-74.16,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,27.77,local_0_50km,59.79794778,100.68127578,85.84832172568,1.2603544920412,1,1,1
-74.11,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,33.2752,local_0_50km,58.96276443,95.35287643,82.1501141859978,0.765025718450075,1,1,1
-74.06,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,38.7858,local_0_50km,58.09008006,97.23290406,83.0314254047316,0.370686034615952,1,1,1
-74.01,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,44.2997,local_0_50km,57.18900768,97.02309568,82.5708182846828,0.92468726517824,1,1,1
-73.96,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,49.816,local_0_50km,56.26094592,93.84842592,80.2112444298417,0.403627215725302,1,1,1
-73.91,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,55.3338,contextual_50_100km,55.29357726,103.70674526,86.1418763587189,1.17736313704204,1,1,1
-73.86,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,60.8528,contextual_50_100km,54.29769936,115.10424336,93.0429113335566,1.86795366928987,1,1,1
-73.81,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,66.3727,contextual_50_100km,53.26813442,136.17043842,106.092503809851,8.63429568084319,1,1,1
-73.76,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,71.8932,contextual_50_100km,52.20343564,171.10084364,127.963460351591,13.795198871484,1,1,1
-73.71,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,77.4142,contextual_50_100km,51.12349363,194.94343763,142.763864053043,4.53075286659042,1,1,1
-73.66,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,82.9357,contextual_50_100km,50.05873022,164.00619422,122.664709052298,3.21275768123999,1,1,1
-73.61,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,88.4575,contextual_50_100km,48.90407607,231.49652407,165.249828305658,8.59051653584112,1,1,1
-73.56,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,93.9796,contextual_50_100km,47.73888974,286.94092174,200.155600585225,13.9887547230268,1,1,1
-73.51,6.47,BER1,contextual_por_proximidad_no_asociacion_directa,99.502,contextual_50_100km,46.50473705,426.26789705,288.485339235642,33.7267738552825,1,1,1
-76.46,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,100.4203,regional_100_150km,62.47490885,169.09003685,130.408809746388,15.1312579698915,1,0,1
-76.41,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,95.0712,contextual_50_100km,62.97105705,299.77835305,213.861870387538,9.64081303754899,1,1,1
-76.36,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,89.7436,contextual_50_100km,63.53703111,332.42638311,234.870151779912,5.66859628479771,1,1,1
-76.31,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,84.4414,contextual_50_100km,64.09886539,350.12168939,246.349232145843,9.60634583204662,1,1,1
-76.26,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,79.1699,contextual_50_100km,64.52337304,493.34158904,337.761277780029,14.4928581283253,1,1,1
-76.21,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,73.9356,contextual_50_100km,64.96117508,598.16025508,404.709334072647,18.3868390655439,1,1,1
-76.16,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,68.747,contextual_50_100km,65.29964006,781.42445606,521.60591846721,30.0506579075582,1,1,1
-76.11,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,63.6152,contextual_50_100km,65.47479561,1105.34569961,728.06825924467,26.9653290455722,1,1,1
-76.06,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,58.5553,contextual_50_100km,66.0544314,988.7684314,653.996898924027,20.7889184418995,1,1,1
-76.01,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,53.5874,contextual_50_100km,66.7104077,775.9966477,518.659226214122,19.8238024659478,1,1,1
-75.96,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,48.74,local_0_50km,67.2647616,644.3714496,434.990330050613,13.8976382929623,1,1,1
-75.91,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,44.0526,local_0_50km,67.77062516,537.78076916,367.255540122473,17.6407593690873,1,1,1
-75.86,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,39.5822,local_0_50km,68.34912365,338.84319565,240.704752959084,13.9532494744425,1,1,1
-75.81,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,35.4111,local_0_50km,68.73813337,296.04054937,213.57254938321,10.6994729532943,1,1,1
-75.76,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,31.6578,local_0_50km,68.97634794,367.25676394,259.037107608904,13.3136976967114,1,1,1
-75.71,6.42,MEDE,contextual_por_proximidad_no_asociacion_directa,28.4879,local_0_50km,69.19819395,424.59429795,295.652395722365,26.5211567340672,1,1,1
